1;PF;1;"=""18855216180""";;;;Aline Carvalho;Rua Bahia, Qd-43, Lt-7, 2545, Itumbiara, SC;"=""31953490897""";alinecarvalho872@email.com
2;PF;2;"=""68194064872""";;;;Carolina Lima;Rua Alvorada, Qd-31, Lt-23, 1640, Rio Verde, GO;"=""11933028189""";carolinalima449@email.com
3;PF;3;"=""64133802500""";;;;Rafael Gomes;Rua Rio Grande, Qd-44, Lt-12, 2384, Itaberaí, RJ;"=""21955962905""";rafaelgomes210@email.com
4;PF;4;"=""35460205883""";;;;Gabriel Ribeiro;Rua Bahia, Qd-25, Lt-6, 2437, Trindade, GO;"=""67997562333""";gabrielribeiro219@email.com
6;PF;6;"=""86055919869""";;;;Matheus Carvalho;Rua das Palmeiras, Qd-54, Lt-3, 837, Rio Verde, PR;"=""61986049793""";matheuscarvalho795@email.com
7;PF;7;"=""13371500969""";;;;Matheus Carvalho;Rua das Palmeiras, Qd-5, Lt-16, 74, Goiânia, RJ;"=""61961993716""";matheuscarvalho726@email.com
8;PF;8;"=""20723066477""";;;;Rodrigo Gomes;Avenida Brasil, Qd-43, Lt-7, 2786, Goiânia, GO;"=""62954145263""";rodrigogomes465@email.com
9;PF;9;"=""79584318306""";;;;Patrícia Santos;Rua das Acácias, Qd-3, Lt-20, 2855, Rio Verde, GO;"=""11911889492""";patriciasantos211@email.com
10;PF;10;"=""70176806695""";;;;Gustavo Carvalho;Rua das Flores, Qd-21, Lt-16, 2360, Itumbiara, RJ;"=""62980191082""";gustavocarvalho542@email.com
11;PF;11;"=""95566598463""";;;;Rodrigo Alves;Rua das Palmeiras, Qd-38, Lt-30, 2223, Goiânia, PR;"=""21914236032""";rodrigoalves428@email.com
12;PF;12;"=""00906900441""";;;;Maria Ribeiro;Rua Goiás, Qd-30, Lt-21, 1116, Itaberaí, MG;"=""62948428469""";mariaribeiro250@email.com
13;PF;13;"=""80678027269""";;;;Patrícia Pereira;Avenida Brasil, Qd-52, Lt-30, 2204, Aparecida de Goiânia, RS;"=""67980826617""";patriciapereira487@email.com
14;PF;14;"=""00188414304""";;;;Amanda Carvalho;Avenida Central, Qd-31, Lt-19, 441, Rio Verde, GO;"=""61928077294""";amandacarvalho761@email.com
15;PF;15;"=""77186779409""";;;;Ana Silva;Rua das Palmeiras, Qd-10, Lt-15, 576, Catalão, MT;"=""65950323768""";anasilva753@email.com
16;PF;16;"=""15051208452""";;;;Gabriel Silva;Avenida Brasil, Qd-15, Lt-6, 886, Trindade, MT;"=""11973521982""";gabrielsilva705@email.com
17;PF;17;"=""53092589815""";;;;Isabela Souza;Rua Rio Grande, Qd-36, Lt-29, 675, Aparecida de Goiânia, RS;"=""11902463590""";isabelasouza143@email.com
18;PF;18;"=""77988443763""";;;;Ana Ribeiro;Rua Alvorada, Qd-27, Lt-28, 685, Itumbiara, SC;"=""61983032217""";anaribeiro721@email.com
19;PF;19;"=""54464238793""";;;;Rodrigo Rodrigues;Rua das Flores, Qd-23, Lt-24, 1653, Trindade, MT;"=""62964330300""";rodrigorodrigues528@email.com
20;PF;20;"=""55797939282""";;;;Aline Ferreira;Avenida Paulista, Qd-39, Lt-26, 937, Rio Verde, MG;"=""62914318772""";alineferreira729@email.com
21;PF;21;"=""70394031105""";;;;Rafael Rodrigues;Rua das Flores, Qd-36, Lt-19, 1554, Rio Verde, MT;"=""65983648513""";rafaelrodrigues886@email.com
22;PF;22;"=""35525431718""";;;;Amanda Silva;Rua Alvorada, Qd-35, Lt-19, 2176, Itaberaí, BA;"=""11941998656""";amandasilva486@email.com
23;PF;23;"=""23829575904""";;;;Gabriel Oliveira;Rua Goiás, Qd-8, Lt-21, 1852, Trindade, PR;"=""62959881571""";gabrieloliveira822@email.com
24;PF;24;"=""71444998153""";;;;Gabriel Carvalho;Rua Rio Grande, Qd-39, Lt-29, 2645, Trindade, PR;"=""31942816805""";gabrielcarvalho871@email.com
